Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,48. Prospect theory - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Prospect,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Combination,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Segregation,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Cancellation,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Simplification,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Detection of dominance,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Certainty effect,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Isolation effect,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Decision weights,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Subjective values,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Choice / behaviour,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Reference point,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Gains,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Losses,
17,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Edited prospects,
19,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Coding,
21,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Editing phase ,
23,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluation phase,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Possibility effect,
27,Line,,2,,,17,18,None,Arrow,,,
28,Line,,2,,,19,20,None,Arrow,,,
29,Line,,2,,,20,17,None,Arrow,,,
30,Line,,2,,,21,22,None,Arrow,,,
31,Line,,2,,,5,21,None,Arrow,,,
32,Line,,2,,,9,21,None,Arrow,,,
33,Line,,2,,,10,21,None,Arrow,,,
34,Line,,2,,,8,21,None,Arrow,,,
35,Line,,2,,,7,21,None,Arrow,,,
36,Line,,2,,,6,21,None,Arrow,,,
37,Line,,2,,,3,18,None,Arrow,,Transition,
38,Line,,2,,,11,23,None,Arrow,,,
39,Line,,2,,,12,23,None,Arrow,,,
40,Line,,2,,,11,25,None,Arrow,,,
41,Line,,2,,,12,25,None,Arrow,,,
42,Line,,2,,,25,24,None,Arrow,,,
43,Line,,2,,,9,11,None,Arrow,,,
44,Line,,2,,,18,11,None,Arrow,,,
45,Line,,2,,,18,12,None,Arrow,,,
46,Line,,2,,,20,21,None,Arrow,,,
47,Line,,2,,,15,17,None,Arrow,,,
48,Line,,2,,,16,17,None,Arrow,,,
49,Line,,2,,,14,19,None,Arrow,,,
50,Line,,2,,,3,19,None,Arrow,,,
51,Line,,2,,,22,37,None,Arrow,,,
52,Line,,2,,,23,13,None,Arrow,,,
53,Line,,2,,,4,21,None,Arrow,,,
54,Line,,2,,,26,21,None,Arrow,,,
