Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,41. Needs-Opportunities-Abilities Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Block,Standard,2,,,,,,,,Macro / societal factors,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Technology,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Economy,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Demography,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Institutions,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Culture,
9,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
10,Block,Standard,2,,,,,,,,Needs,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social relations,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Pleasure / arousal,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Health,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Status,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Freedom / control,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Development / education,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Beauty,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Privacy,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Safety,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Leisure time,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Nature / environment,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Work / labour,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Money,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Comfort,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Social justice,
26,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
27,Block,Standard,2,,,,,,,,Opportunities,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Technical,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
31,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
32,Block,Standard,2,,,,,,,,Abilities,
33,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Financial,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Spatial,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Temporal,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Opportunity search,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to perform,
41,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural control,
42,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention,
43,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,Consequences,
45,Line,,2,,,4,9,None,Arrow,,,
46,Line,,2,,,5,9,None,Arrow,,,
47,Line,,2,,,6,9,None,Arrow,,,
48,Line,,2,,,7,9,None,Arrow,,,
49,Line,,2,,,8,9,None,Arrow,,,
50,Line,,2,,,9,3,None,Arrow,,,
51,Line,,2,,,26,10,None,Arrow,,,
52,Line,,2,,,20,26,None,Arrow,,,
53,Line,,2,,,13,26,None,Arrow,,,
54,Line,,2,,,11,26,None,Arrow,,,
55,Line,,2,,,12,26,None,Arrow,,,
56,Line,,2,,,19,26,None,Arrow,,,
57,Line,,2,,,16,26,None,Arrow,,,
58,Line,,2,,,14,26,None,Arrow,,,
59,Line,,2,,,21,26,None,Arrow,,,
60,Line,,2,,,15,26,None,Arrow,,,
61,Line,,2,,,17,26,None,Arrow,,,
62,Line,,2,,,18,26,None,Arrow,,,
63,Line,,2,,,22,26,None,Arrow,,,
64,Line,,2,,,23,26,None,Arrow,,,
65,Line,,2,,,24,26,None,Arrow,,,
66,Line,,2,,,25,26,None,Arrow,,,
67,Line,,2,,,28,31,None,Arrow,,,
68,Line,,2,,,29,31,None,Arrow,,,
69,Line,,2,,,31,27,None,Arrow,,,
70,Line,,2,,,38,33,None,Arrow,,,
71,Line,,2,,,37,33,None,Arrow,,,
72,Line,,2,,,36,33,None,Arrow,,,
73,Line,,2,,,35,33,None,Arrow,,,
74,Line,,2,,,34,33,None,Arrow,,,
75,Line,,2,,,33,32,None,Arrow,,,
76,Line,,2,,,43,44,None,Arrow,,,
77,Line,,2,,,42,43,None,Arrow,,,
78,Line,,2,,,40,42,None,Arrow,,,
79,Line,,2,,,41,42,None,Arrow,,,
80,Line,,2,,,3,32,None,Arrow,,,
81,Line,,2,,,3,10,None,Arrow,,,
82,Line,,2,,,3,27,None,Arrow,,,
83,Line,,2,,,30,31,None,Arrow,,,
84,Line,,2,,,32,39,None,Arrow,,,
85,Line,,2,,,39,27,None,Arrow,,,
86,Line,,2,,,27,40,None,Arrow,,,
87,Line,,2,,,27,41,None,Arrow,,,
88,Line,,2,,,32,87,None,Arrow,,,
89,Line,,2,,,10,84,None,Arrow,,,
90,Line,,2,,,10,86,None,Arrow,,,
