Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,60. Social Action Theory (Ewart) - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Action state ,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Action contexts ,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Mood / arousal,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Social interdependence,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-change processes,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Problem solving,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectancies or outcomes?,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Generative capabilities,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Declarative knowledge schemas,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Procedural schemas,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Social interaction processes,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Contextual influences,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Settings,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Tasks,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Relationship systems,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Organisational systems,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Temperament,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological conditions,
27,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Goal congruence,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Action linkage,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcomes,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Type,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Immediacy,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Frequency,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Health protective action / health habits,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Attention control,
36,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
37,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Cueing,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Direction and mode,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Constructive thinking,
41,Process,Flowchart Shapes/Containers,2,,,,,,,,Action planning,
42,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
43,Process,Flowchart Shapes/Containers,2,,,,,,,,Proactive simulation,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
45,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
46,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
47,Process,Flowchart Shapes/Containers,2,,,,,,,,Orientation,
48,Process,Flowchart Shapes/Containers,2,,,,,,,,Engagement,
49,Process,Flowchart Shapes/Containers,2,,,,,,,,Control,
50,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
51,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
52,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-regulatory resources,
53,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
54,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
55,Process,Flowchart Shapes/Containers,2,,,,,,,,Incentive portfolio,
56,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
57,Process,Flowchart Shapes/Containers,2,,,,,,,,Value,
58,Process,Flowchart Shapes/Containers,2,,,,,,,,Control,
59,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal portfolio,
60,Process,Flowchart Shapes/Containers,2,,,,,,,,Social-emotional competence,
61,Process,Flowchart Shapes/Containers,2,,,,,,,,Social knowledge,
62,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
63,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotion scipts,
64,Process,Flowchart Shapes/Containers,2,,,,,,,,Social power,
65,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
66,Process,Flowchart Shapes/Containers,2,,,,,,,,Dyads,
67,Process,Flowchart Shapes/Containers,2,,,,,,,,Coalitions,
68,Process,Flowchart Shapes/Containers,2,,,,,,,,Hierarchies,
69,Process,Flowchart Shapes/Containers,2,,,,,,,,Assets,
70,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
71,Process,Flowchart Shapes/Containers,2,,,,,,,,Appetitive,
72,Process,Flowchart Shapes/Containers,2,,,,,,,,Mobility,
73,Process,Flowchart Shapes/Containers,2,,,,,,,,Generative,
74,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
75,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
76,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
77,Line,,2,,,44,50,None,Arrow,,,
78,Line,,2,,,19,14,None,Arrow,,,
79,Line,,2,,,30,44,None,Arrow,,,
80,Line,,2,,,27,9,None,Arrow,,,
81,Line,,2,,,29,27,None,Arrow,,,
82,Line,,2,,,28,27,None,Arrow,,,
83,Line,,2,,,31,76,None,Arrow,,,
84,Line,,2,,,76,30,None,Arrow,,,
85,Line,,2,,,32,76,None,Arrow,,,
86,Line,,2,,,33,76,None,Arrow,,,
87,Line,,2,,,9,30,None,Arrow,,,
88,Line,,2,,,34,9,None,Arrow,,,
89,Line,,2,,,34,30,None,Arrow,,,
90,Line,,2,,,30,34,None,Arrow,,,
91,Line,,2,,,36,14,None,Arrow,,,
92,Line,,2,,,35,36,None,Arrow,,,
93,Line,,2,,,37,35,None,Arrow,,,
94,Line,,2,,,39,37,None,Arrow,,,
95,Line,,2,,,38,37,None,Arrow,,,
96,Line,,2,,,42,40,None,Arrow,,,
97,Line,,2,,,43,42,None,Arrow,,,
98,Line,,2,,,41,42,None,Arrow,,,
99,Line,,2,,,11,42,None,Arrow,,,
100,Line,,2,,,14,40,None,Arrow,,,
101,Line,,2,,,44,40,None,Arrow,,,
102,Line,,2,,,14,44,None,Arrow,,,
103,Line,,2,,,45,44,None,Arrow,,,
104,Line,,2,,,12,45,None,Arrow,,,
