Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,70. Social Learning Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Drive,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Cue,
5,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Innate drives,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Acquired drives,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Response,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Extinction,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Spontaneous recovery,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Generalisation,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Discrimination,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Anticipatory response,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Same behaviour,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Matched-dependent behaviour,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Copying,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Reward,
18,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Innate rewards,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Acquired rewards,
21,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
22,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Gradient of reward,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Imitation,
25,Line,,2,,,6,5,None,Arrow,,,
26,Line,,2,,,5,3,None,Arrow,,,
27,Line,,2,,,7,5,None,Arrow,,,
28,Line,,2,,,19,18,None,Arrow,,,
29,Line,,2,,,20,18,None,Arrow,,,
30,Line,,2,,,24,8,None,Arrow,,,
31,Line,,2,,,8,21,None,Arrow,,,
32,Line,,2,,,17,21,None,Arrow,,,
33,Line,,2,,,21,3,None,Arrow,,,
34,Line,,2,,,21,8,None,Arrow,,,
35,Line,,2,,,21,9,None,Arrow,,,
36,Line,,2,,,3,8,None,Arrow,,,
37,Line,,2,,,15,22,None,Arrow,,,
38,Line,,2,,,14,22,None,Arrow,,,
39,Line,,2,,,16,22,None,Arrow,,,
40,Line,,2,,,22,24,None,Arrow,,,
41,Line,,2,,,9,10,None,Arrow,,Transition,
42,Line,,2,,,10,8,None,Arrow,,,
43,Line,,2,,,18,17,None,Arrow,,,
44,Line,,2,,,21,12,None,Arrow,,,
45,Line,,2,,,12,4,None,Arrow,,,
46,Line,,2,,,21,11,None,Arrow,,,
47,Line,,2,,,11,4,None,Arrow,,,
48,Line,,2,,,21,23,None,Arrow,,,
49,Line,,2,,,23,17,None,Arrow,,,
50,Line,,2,,,11,13,None,Arrow,,,
51,Line,,2,,,9,8,None,Arrow,,​-,
52,Line,,2,,,10,8,None,Arrow,,​+,
53,Line,,2,,,13,23,Arrow,Arrow,,Correlation,
