Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Injuctive norms
3,Process,Flowchart Shapes,1,,,,,,,Descriptive norms
4,Process,Flowchart Shapes,1,,,,,,,Perceived norms
6,Process,Flowchart Shapes,1,,,,,,,Actual norms
7,Process,Flowchart Shapes,1,,,,,,,Misperceptions
8,Process,Flowchart Shapes,1,,,,,,,Pluralistic ignorance
9,Process,Flowchart Shapes,1,,,,,,,False consensus
10,Process,Flowchart Shapes,1,,,,,,,False uniqueness
12,Process,Flowchart Shapes,1,,,,,,,Healthy behaviour
14,Process,Flowchart Shapes,1,,,,,,,Corrected misperceptions
24,Line,,1,,,7,12,None,Arrow, - 
26,Line,,1,,,7,14,None,Arrow,
27,Line,,1,,,14,12,None,Arrow,+
29,Line,,1,,,2,4,None,Arrow,Type of
30,Line,,1,,,2,6,None,Arrow,Type of
31,Line,,1,,,3,4,None,Arrow,Type of
32,Line,,1,,,3,6,None,Arrow,Type of
33,Line,,1,,,6,7,None,Arrow,*
34,Line,,1,,,4,7,None,Arrow,*
35,Line,,1,,,8,7,None,Arrow,Type of
36,Line,,1,,,9,7,None,Arrow,Type of
37,Line,,1,,,10,7,None,Arrow,Type of
