Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,19. General Theory of Crime - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Impulsivity,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Sensitivity,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Physicality,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Risk-taking preference,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Time orientation (near / far-sighted),
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-control,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Parental child-rearing practices,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Monitoring of child,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Recognition of deviant behaviour,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Punishment of deviant behaviour,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Parent-child attachment,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Socialising institutions,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,School,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,"Criminal, deviant, and risky behaviours",
33,Line,,2,,,16,8,None,Arrow,,,
34,Line,,2,,,10,8,None,Arrow,,,
35,Line,,2,,,8,19,None,Arrow,,​-,
36,Line,,2,,,3,8,None,Arrow,,Type of,
37,Line,,2,,,4,8,None,Arrow,,Type of,
38,Line,,2,,,5,8,None,Arrow,,Type of,
39,Line,,2,,,6,8,None,Arrow,,Type of,
40,Line,,2,,,7,8,None,Arrow,,Type of,
41,Line,,2,,,11,10,None,Arrow,,Type of,
42,Line,,2,,,12,10,None,Arrow,,Type of,
43,Line,,2,,,13,10,None,Arrow,,Type of,
44,Line,,2,,,14,10,None,Arrow,,Type of,
45,Line,,2,,,17,16,None,Arrow,,Type of,
