Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,50. Prototype willingness model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural intention,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural willingness,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Risk behaviour,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Past behaviour,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Subjective norms,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Risk prototypes,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceptions of vulnerability,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social reaction path,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Reasoned path,
15,Line,,2,,,3,9,Arrow,Arrow,,,
16,Line,,2,,,8,9,Arrow,Arrow,,,
17,Line,,2,,,3,8,Arrow,Arrow,,,
18,Line,,2,,,3,4,None,Arrow,,,
19,Line,,2,,,8,4,None,Arrow,,,
20,Line,,2,,,3,5,None,Arrow,,,
21,Line,,2,,,8,5,None,Arrow,,,
22,Line,,2,,,9,5,None,Arrow,,,
23,Line,,2,,,5,4,None,Arrow,,,
24,Line,,2,,,4,6,None,Arrow,,,
25,Line,,2,,,5,6,None,Arrow,,,
26,Line,,2,,,7,9,None,Arrow,,,
27,Line,,2,,,7,8,None,Arrow,,,
28,Line,,2,,,7,3,None,Arrow,,,
37,Line,,2,,,10,5,None,Arrow,,,
38,Line,,2,,,7,10,None,Arrow,,,
39,Line,,2,,,3,12,None,Arrow,,Part of,
40,Line,,2,,,4,12,None,Arrow,,Part of,
41,Line,,2,,,8,12,None,Arrow,,Part of,
42,Line,,2,,,10,11,None,Arrow,,Part of,
43,Line,,2,,,5,11,None,Arrow,,Part of,
44,Line,,2,,,9,11,None,Arrow,,Part of,
